"","YEARS","Ag_ca","Am_hy","Am_ra","An_de","An_lu","An_me","An_mi","Ar_at","Ar_ri","Ar_si","Ar_sp","Ba_sp","Be_gl","Bo_sa","Br_br","Ca_sp","Ch_mo","Ci_mu","Cl_ha","Co_mi","Cy_lu","Di_ba","En_ci","Eu_sp","Ga_aa","Ga_ar","Ga_at","Ga_mo","Ga_vu","Gl_cy","Gy_re","Hi_hi","Hi_pl","Le_de","Le_ma","Li_ba","Li_fa","Li_gi","Li_li","Li_spp","Lu_la","Ly_es","Ly_eu","Ly_fl","Ly_fr","Ly_gr","Ly_ko","Ly_pa","Ly_re","Ly_ro","Ly_se","Ly_spp","Ly_sq","Ma_be","Ma_mu","Ma_vi","Me_ae","Me_me","Mi_ki","Mi_po","Mo_di","Mo_mo","My_sc","Pa_bo","Pl_pl","Po_vi","Ra_cl","Ra_fy","Ra_ra","Ra_spp","Re_hi","Se_ma","Se_me","Se_spp","Se_vi","So_mi","St_spp","Tr_es","Tr_mu","Tr_pi","Tr_spp","Ul_ol"
"907",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,28,0,0,0,3608,0,0,0,0,0,0,0,5,46,0,0,0,0,85,0,0,0,0
"908",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,3,0,0,0,1675,0,0,0,0,0,0,0,1,11,0,0,0,0,246,0,0,0,0
"909",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,103,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,4,16,0,0,0,0,20,0,0,0,0
"910",1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,4057,0,0,0,0,0,0,0,0,30,0,0,0,0,12,0,0,0,0
"911",1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,5618,0,0,0,0,0,0,0,2,66,0,0,0,0,4,0,0,0,0
"913",1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,18,33,0,0,0,0,47,0,0,0,0
"914",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,127,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4465,0,0,0,0,0,0,0,4,11,0,0,0,0,149,0,0,0,0
"915",1999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1400,0,0,0,0,0,0,1,1,2,0,0,0,0,42,0,0,0,0
"916",1999,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2785,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0
"917",1999,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,5727,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"918",1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,0,0,0,0,0,0,2690,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0
"919",1999,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,2049,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
"920",1999,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6189,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"921",1999,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0,0,0,8205,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"922",1999,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,200,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21069,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"923",1999,0,0,0,3,0,0,0,0,0,0,0,0,0,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10898,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"924",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"925",1999,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"926",1999,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,124,0,0,0,0,0,0,5871,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"927",1999,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928",1999,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"929",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,789,0,0,0,0,0,0,0,1,11,0,0,0,0,10,0,0,0,0
"930",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,111,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,40,17,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,10,10,0,0,0,0,3,0,0,0,0
"931",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"932",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0
"933",1999,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,974,0,0,0,0,0,0,0,2,45,0,0,0,0,8,0,0,0,0
"934",1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,1904,0,0,0,1,0,0,0,8,0,0,0,0,0,6,0,0,0,0
"935",1999,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,607,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0
"936",1999,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,1309,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"937",1999,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,1765,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"938",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,13,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"939",1999,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,104,12,0,0,0,0,0,0,14689,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0
